,IP,Throughput(MB/s),IP in 32 bit
337,114.108.163.166,0.33,01110010011011001010001110100110
338,114.255.59.80,0.21,01110010111111110011101101010000
339,114.55.140.65,0.12,01110010001101111000110001000001
340,115.178.24.8,0.73,01110011101100100001100000001000
341,115.68.95.136,0.06,01110011010001000101111110001000
342,115.68.95.196,0.2,01110011010001000101111111000100
343,116.0.23.233,0.1,01110100000000000001011111101001
344,116.124.128.163,1.74,01110100011111001000000010100011
345,116.124.141.151,0.05,01110100011111001000110110010111
346,116.202.52.99,2.52,01110100110010100011010001100011
347,116.203.155.49,3.22,01110100110010111001101100110001
348,116.206.105.72,0.38,01110100110011100110100101001000
349,116.7.234.143,0.34,01110100000001111110101010001111
350,116.90.60.38,0.19,01110100010110100011110000100110
351,117.120.31.125,0.07500000000000001,01110101011110000001111101111101
352,117.53.167.49,0.04,01110101001101011010011100110001
353,118.139.186.1,64.6,01110110100010111011101000000001
354,118.179.168.210,0.11,01110110101100111010100011010010
355,118.98.75.67,1.84,01110110011000100100101101000011
356,119.29.194.180,0.03,01110111000111011100001010110100
357,119.31.231.194,0.01,01110111000111111110011111000010
358,119.81.212.104,12.9,01110111010100011101010001101000
359,120.138.21.86,0.25,01111000100010100001010101010110
360,120.26.114.162,10.7,01111000000110100111001010100010
361,121.101.76.178,0.025,01111001011001010100110010110010
362,121.162.155.183,0.24,01111001101000101001101110110111
363,122.144.14.124,0.19,01111010100100000000111001111100
364,122.147.41.155,0.19,01111010100100110010100110011011
365,122.155.177.24,2.02,01111010100110111011000100011000
366,123.1.179.199,0.13,01111011000000011011001111000111
367,123.49.37.153,0.28,01111011001100010010010110011001
368,123.50.65.186,0.02,01111011001100100100000110111010
369,124.108.27.57,3.655,01111100011011000001101100111001
370,124.108.30.31,0.2466666666666667,01111100011011000001111000011111
371,124.108.31.205,0.10000000000000002,01111100011011000001111111001101
372,124.146.199.91,0.72,01111100100100101100011101011011
373,124.240.221.38,0.08,01111100111100001101110100100110
374,128.100.167.140,0.5,10000000011001001010011110001100
375,128.16.12.199,9.71,10000000000100000000110011000111
376,128.199.43.113,3.66,10000000110001110010101101110001
377,128.199.47.114,4.15,10000000110001110010111101110010
378,128.238.24.232,0.22,10000000111011100001100011101000
379,128.65.125.148,2.41,10000000010000010111110110010100
380,128.65.195.208,3.07,10000000010000011100001111010000
381,128.65.195.96,0.91,10000000010000011100001101100000
382,129.121.134.233,9.88,10000001011110011000011011101001
383,129.121.2.221,0.135,10000001011110010000001011011101
384,129.121.22.120,0.16,10000001011110010001011001111000
385,129.158.125.97,1.16,10000001100111100111110101100001
386,129.232.138.144,0.29,10000001111010001000101010010000
387,129.232.138.170,1.4400000000000002,10000001111010001000101010101010
388,13.112.243.180,0.25,00001101011100001111001110110100
389,13.124.192.117,1.3,00001101011111001100000001110101
390,13.125.131.17,0.64,00001101011111011000001100010001
391,13.211.71.186,0.13,00001101110100110100011110111010
392,13.224.130.102,0.34,00001101111000001000001001100110
393,13.224.227.36,1.76,00001101111000001110001100100100
394,13.224.227.56,0.67,00001101111000001110001100111000
395,13.224.239.31,4.07,00001101111000001110111100011111
396,13.224.241.107,1.35,00001101111000001111000101101011
397,13.224.241.17,1.53,00001101111000001111000100010001
398,13.224.241.78,10.6,00001101111000001111000101001110
399,13.227.171.51,1.32,00001101111000111010101100110011
400,13.234.251.117,1.11,00001101111010101111101101110101
401,13.235.159.96,0.61,00001101111010111001111101100000
402,13.32.171.110,1.31,00001101001000001010101101101110
403,13.32.171.116,0.48,00001101001000001010101101110100
404,13.32.171.13,1.25,00001101001000001010101100001101
405,13.32.171.6,0.56,00001101001000001010101100000110
406,13.35.198.5,1.56,00001101001000111100011000000101
407,13.54.163.191,0.37,00001101001101101010001110111111
408,13.70.123.149,0.37,00001101010001100111101110010101
409,13.70.5.237,0.39,00001101010001100000010111101101
410,13.73.203.169,0.16,00001101010010011100101110101001
411,13.81.221.188,4.2,00001101010100011101110110111100
412,13.84.209.87,0.68,00001101010101001101000101010111
413,13.90.138.92,0.62,00001101010110101000101001011100
414,13.92.34.253,0.37,00001101010111000010001011111101
415,13.94.114.13,2.14,00001101010111100111001000001101
416,130.208.165.108,23.5,10000010110100001010010101101100
417,130.208.54.10,2.53,10000010110100000011011000001010
418,130.235.185.151,14.4,10000010111010111011100110010111
419,130.63.236.137,0.49,10000010001111111110110010001001
420,131.130.52.32,0.74,10000011100000100011010000100000
421,131.178.5.23,0.06,10000011101100100000010100010111
422,131.207.23.133,0.9466666666666668,10000011110011110001011110000101
423,131.224.245.82,2.84,10000011111000001111010101010010
424,132.148.140.237,0.31,10000100100101001000110011101101
425,132.148.35.173,0.635,10000100100101000010001110101101
426,132.148.46.175,1.45,10000100100101000010111010101111
427,132.148.83.61,2.414,10000100100101000101001100111101
428,132.181.7.37,0.09,10000100101101010000011100100101
429,132.203.51.120,1.18,10000100110010110011001101111000
430,132.248.18.15,0.1,10000100111110000001001000001111
431,132.248.9.5,0.17,10000100111110000000100100000101
432,132.74.123.114,0.54,10000100010010100111101101110010
433,132.77.150.168,0.395,10000100010011011001011010101000
434,133.18.34.10,0.09,10000101000100100010001000001010
435,133.242.14.97,0.5,10000101111100100000111001100001
436,134.0.11.84,0.8500000000000001,10000110000000000000101101010100
437,134.0.41.110,0.44,10000110000000000010100101101110
438,134.0.41.133,6.78,10000110000000000010100110000101
439,134.0.41.216,0.91,10000110000000000010100111011000
440,134.0.63.171,2.67,10000110000000000011111110101011
441,134.209.147.72,0.24,10000110110100011001001101001000
442,134.246.142.39,3.32,10000110111101101000111000100111
443,134.34.240.80,1.07,10000110001000101111000001010000
444,134.76.31.198,1.11,10000110010011000001111111000110
445,134.94.130.56,9.79,10000110010111101000001000111000
446,136.0.111.125,0.46,10001000000000000110111101111101
447,136.144.181.139,2.97,10001000100100001011010110001011
448,136.228.160.38,0.59,10001000111001001010000000100110
449,136.243.128.108,12.6,10001000111100111000000001101100
450,136.243.143.126,2.64,10001000111100111000111101111110
451,136.243.153.53,1.36,10001000111100111001100100110101
452,136.243.154.241,3.92,10001000111100111001101011110001
453,136.243.165.58,1.82,10001000111100111010010100111010
454,136.243.184.164,5.52,10001000111100111011100010100100
455,136.243.24.150,2.26,10001000111100110001100010010110
456,136.243.45.25,7.505,10001000111100110010110100011001
457,136.243.54.167,1.66,10001000111100110011011010100111
458,136.243.68.206,2.33,10001000111100110100010011001110
459,137.116.45.59,0.665,10001001011101000010110100111011
460,137.191.227.35,1.535,10001001101111111110001100100011
461,137.255.9.108,0.8933333333333334,10001001111111110000100101101100
462,137.255.9.9,0.34,10001001111111110000100100001001
463,137.255.9.99,0.76,10001001111111110000100101100011
464,137.68.225.28,0.15,10001001010001001110000100011100
465,137.74.115.133,2.035,10001001010010100111001110000101
466,137.74.127.233,2.37,10001001010010100111111111101001
467,137.74.24.151,4.27,10001001010010100001100010010111
468,137.74.26.166,1.8,10001001010010100001101010100110
469,137.74.69.103,6.39,10001001010010100100010101100111
470,137.82.151.164,0.4,10001001010100101001011110100100
471,138.117.5.66,0.38,10001010011101010000010101000010
472,138.128.181.122,0.32,10001010100000001011010101111010
473,138.185.29.195,0.82,10001010101110010001110111000011
474,138.201.119.120,2.0283333333333333,10001010110010010111011101111000
475,138.201.136.117,10.595,10001010110010011000100001110101
476,138.201.207.39,0.66,10001010110010011100111100100111
477,138.201.223.6,0.52,10001010110010011101111100000110
478,138.201.94.33,1.47,10001010110010010101111000100001
479,138.68.107.54,4.13,10001010010001000110101100110110
480,138.97.141.23,0.44,10001010011000011000110100010111
481,139.141.103.63,0.395,10001011100011010110011100111111
482,139.141.236.130,0.165,10001011100011011110110010000010
483,139.15.250.195,5.41,10001011000011111111101011000011
484,139.162.17.173,0.375,10001011101000100001000110101101
485,139.162.191.157,0.745,10001011101000101011111110011101
486,139.162.196.28,3.56,10001011101000101100010000011100
487,139.162.243.219,0.46,10001011101000101111001111011011
488,139.162.53.236,0.14,10001011101000100011010111101100
489,139.59.150.162,3.12,10001011001110111001011010100010
490,139.59.208.25,2.66,10001011001110111101000000011001
491,139.59.36.255,4.79,10001011001110110010010011111111
492,139.7.147.41,1.5,10001011000001111001001100101001
493,139.80.135.136,0.34,10001011010100001000011110001000
494,139.91.171.77,0.67,10001011010110111010101101001101
495,14.0.41.210,1.5,00001110000000000010100111010010
496,140.116.165.56,0.06000000000000001,10001100011101001010010100111000
497,140.184.59.33,0.105,10001100101110000011101100100001
498,140.230.24.121,0.06,10001100111001100001100001111001
499,141.117.126.20,0.43,10001101011101010111111000010100
500,141.138.168.120,1.55,10001101100010101010100001111000
501,141.2.37.41,3.13,10001101000000100010010100101001
502,142.4.17.198,0.16,10001110000001000001000111000110
503,142.4.202.222,0.32,10001110000001001100101011011110
504,142.4.205.94,0.25,10001110000001001100110101011110
505,142.4.49.154,24.0,10001110000001000011000110011010
506,142.93.108.123,0.38,10001110010111010110110001111011
507,142.93.129.198,3.77,10001110010111011000000111000110
508,143.106.101.119,0.73,10001111011010100110010101110111
509,143.107.18.8,0.2,10001111011010110001001000001000
510,143.108.10.6,0.33,10001111011011000000101000000110
511,143.204.175.114,0.15,10001111110011001010111101110010
