,IP,Throughput(MB/s),IP in 32 bit
2457,5.10.105.55,12.2,00000101000010100110100100110111
2458,5.100.154.160,0.8300000000000001,00000101011001001001101010100000
2459,5.101.115.218,21.8,00000101011001010111001111011010
2460,5.101.121.26,0.19,00000101011001010111100100011010
2461,5.101.152.59,1.24,00000101011001011001100000111011
2462,5.135.183.90,0.95,00000101100001111011011101011010
2463,5.153.23.21,3.37,00000101100110010001011100010101
2464,5.189.170.71,0.75,00000101101111011010101001000111
2465,5.189.175.164,0.41,00000101101111011010111110100100
2466,5.195.197.44,1.54,00000101110000111100010100101100
2467,5.195.197.49,0.42,00000101110000111100010100110001
2468,5.196.242.140,1.72,00000101110001001111001010001100
2469,5.196.64.57,7.89,00000101110001000100000000111001
2470,5.199.172.213,0.39,00000101110001111010110011010101
2471,5.2.129.200,0.02,00000101000000101000000111001000
2472,5.35.245.157,0.69,00000101001000111111010110011101
2473,5.35.248.64,9.72,00000101001000111111100001000000
2474,5.44.101.14,1.84,00000101001011000110010100001110
2475,5.56.38.70,7.09,00000101001110000010011001000110
2476,5.61.252.82,1.13,00000101001111011111110001010010
2477,5.77.37.165,2.46,00000101010011010010010110100101
2478,5.77.47.72,0.72,00000101010011010010111101001000
2479,5.79.66.243,0.33,00000101010011110100001011110011
2480,5.9.107.59,17.1,00000101000010010110101100111011
2481,5.9.108.132,1.52,00000101000010010110110010000100
2482,5.9.15.190,10.9,00000101000010010000111110111110
2483,5.9.19.47,2.58,00000101000010010001001100101111
2484,5.9.77.10,1.19,00000101000010010100110100001010
2485,5.9.82.145,0.92,00000101000010010101001010010001
2486,50.115.115.37,0.73,00110010011100110111001100100101
2487,50.116.16.213,0.6533333333333333,00110010011101000001000011010101
2488,50.116.31.54,1.02,00110010011101000001111100110110
2489,50.116.92.106,0.69,00110010011101000101110001101010
2490,50.116.99.161,0.24,00110010011101000110001110100001
2491,50.17.113.184,1.73,00110010000100010111000110111000
2492,50.244.130.230,10.2,00110010111101001000001011100110
2493,50.28.52.8,1.81,00110010000111000011010000001000
2494,50.31.147.205,0.45,00110010000111111001001111001101
2495,50.62.160.109,5.01,00110010001111101010000001101101
2496,50.62.169.118,0.69,00110010001111101010100101110110
2497,50.62.169.12,0.56,00110010001111101010100100001100
2498,50.62.228.30,0.73,00110010001111101110010000011110
2499,50.63.166.121,0.1,00110010001111111010011001111001
2500,50.63.211.1,0.64,00110010001111111101001100000001
2501,50.87.111.194,22.0,00110010010101110110111111000010
2502,50.87.150.103,0.34,00110010010101111001011001100111
2503,50.87.151.126,0.15,00110010010101111001011101111110
2504,50.87.161.134,1.39,00110010010101111010000110000110
2505,50.87.211.62,4.91,00110010010101111101001100111110
2506,50.87.218.140,16.544999999999998,00110010010101111101101010001100
2507,50.87.233.18,3.82,00110010010101111110100100010010
2508,50.87.248.185,1.73,00110010010101111111100010111001
2509,50.87.253.209,0.46,00110010010101111111110111010001
2510,50.87.253.23,2.67,00110010010101111111110100010111
2511,50.87.30.192,25.6,00110010010101110001111011000000
2512,50.87.4.243,12.6,00110010010101110000010011110011
2513,50.87.42.18,29.2,00110010010101110010101000010010
2514,50.87.88.46,0.42,00110010010101110101100000101110
2515,51.144.43.172,0.96,00110011100100000010101110101100
2516,51.15.176.113,1.7000000000000002,00110011000011111011000001110001
2517,51.159.53.125,0.33,00110011100111110011010101111101
2518,51.161.13.90,5.7,00110011101000010000110101011010
2519,51.254.46.237,1.87,00110011111111100010111011101101
2520,51.255.113.127,12.4,00110011111111110111000101111111
2521,51.255.131.171,1.04,00110011111111111000001110101011
2522,51.255.224.206,2.27,00110011111111111110000011001110
2523,51.68.2.16,2.18,00110011010001000000001000010000
2524,51.77.119.153,0.7,00110011010011010111011110011001
2525,51.77.122.223,11.1,00110011010011010111101011011111
2526,51.79.120.24,0.25,00110011010011110111100000011000
2527,51.79.4.246,0.59,00110011010011110000010011110110
2528,51.83.66.166,13.5,00110011010100110100001010100110
2529,51.89.52.161,4.42,00110011010110010011010010100001
2530,51.91.15.62,1.393333333333333,00110011010110110000111100111110
2531,51.91.48.156,0.77,00110011010110110011000010011100
2532,51.91.68.65,2.24,00110011010110110100010001000001
2533,51.91.9.216,2.49,00110011010110110000100111011000
2534,52.0.145.186,1.37,00110100000000001001000110111010
2535,52.10.162.95,1.53,00110100000010101010001001011111
2536,52.117.30.8,13.4,00110100011101010001111000001000
2537,52.14.220.150,1.79,00110100000011101101110010010110
2538,52.14.252.74,0.73,00110100000011101111110001001010
2539,52.151.38.37,0.93,00110100100101110010011000100101
2540,52.151.67.235,2.73,00110100100101110100001111101011
2541,52.166.78.97,1.64,00110100101001100100111001100001
2542,52.169.136.132,1.55,00110100101010011000100010000100
2543,52.17.71.158,3.405,00110100000100010100011110011110
2544,52.174.44.217,2.29,00110100101011100010110011011001
2545,52.197.154.63,0.45,00110100110001011001101000111111
2546,52.198.237.80,0.22,00110100110001101110110101010000
2547,52.208.117.34,1.72,00110100110100000111010100100010
2548,52.216.145.74,2.38,00110100110110001001000101001010
2549,52.216.186.58,0.09,00110100110110001011101000111010
2550,52.233.184.181,1.34,00110100111010011011100010110101
2551,52.49.81.72,2.75,00110100001100010101000101001000
2552,52.56.191.125,4.01,00110100001110001011111101111101
2553,52.7.237.196,4.05,00110100000001111110110111000100
2554,52.72.197.196,2.02,00110100010010001100010111000100
2555,52.8.80.183,0.49,00110100000010000101000010110111
2556,52.84.141.124,2.92,00110100010101001000110101111100
2557,52.85.142.41,5.01,00110100010101011000111000101001
2558,52.85.142.73,1.11,00110100010101011000111001001001
2559,52.87.59.174,1.44,00110100010101110011101110101110
2560,52.95.163.42,12.4,00110100010111111010001100101010
2561,54.149.202.134,0.42,00110110100101011100101010000110
2562,54.154.100.240,6.355,00110110100110100110010011110000
2563,54.169.34.213,0.32,00110110101010010010001011010101
2564,54.194.47.28,2.85,00110110110000100010111100011100
2565,54.194.70.9,2.19,00110110110000100100011000001001
2566,54.210.157.106,1.38,00110110110100101001110101101010
2567,54.210.55.162,1.7,00110110110100100011011110100010
2568,54.212.229.82,0.74,00110110110101001110010101010010
2569,54.217.205.226,1.53,00110110110110011100110111100010
2570,54.221.192.105,12.3,00110110110111011100000001101001
2571,54.228.253.204,0.255,00110110111001001111110111001100
2572,54.229.210.80,2.06,00110110111001011101001001010000
2573,54.229.36.238,3.58,00110110111001010010010011101110
2574,54.232.245.156,0.19,00110110111010001111010110011100
2575,54.236.189.64,0.18,00110110111011001011110101000000
2576,54.236.190.114,16.1,00110110111011001011111001110010
2577,54.243.170.45,0.52,00110110111100111010101000101101
2578,54.245.242.205,0.77,00110110111101011111001011001101
2579,54.246.135.146,0.32,00110110111101101000011110010010
2580,54.246.209.119,10.1,00110110111101101101000101110111
2581,54.249.53.135,0.26,00110110111110010011010110000111
2582,54.36.91.62,4.274,00110110001001000101101100111110
2583,54.37.15.199,29.0,00110110001001010000111111000111
2584,54.37.163.67,9.9,00110110001001011010001101000011
2585,54.39.132.158,1.2,00110110001001111000010010011110
2586,54.72.118.82,1.78,00110110010010000111011001010010
2587,54.72.134.130,1.51,00110110010010001000011010000010
2588,54.93.122.89,0.98,00110110010111010111101001011001
2589,58.137.102.247,0.37,00111010100010010110011011110111
2590,58.181.55.15,0.15,00111010101101010011011100001111
2591,58.225.75.188,0.2,00111010111000010100101110111100
2592,58.26.47.151,0.14,00111010000110100010111110010111
2593,59.106.27.234,0.3,00111011011010100001101111101010
2594,59.106.61.120,0.11,00111011011010100011110101111000
2595,59.120.19.199,0.12,00111011011110000001001111000111
2596,60.250.232.3,0.215,00111100111110101110100000000011
2597,60.32.114.50,0.82,00111100001000000111001000110010
2598,60.43.163.61,0.4,00111100001010111010001100111101
2599,61.244.22.8,0.77,00111101111101000001011000001000
2600,61.6.254.4,0.06,00111101000001101111111000000100
2601,61.67.154.249,0.41,00111101010000111001101011111001
2602,62.0.95.185,6.03,00111110000000000101111110111001
2603,62.113.231.195,4.75,00111110011100011110011111000011
2604,62.116.130.8,3.17,00111110011101001000001000001000
2605,62.12.101.43,1.46,00111110000011000110010100101011
2606,62.12.105.2,1.08,00111110000011000110100100000010
2607,62.121.130.22,0.95,00111110011110011000001000010110
2608,62.139.5.133,0.46,00111110100010110000010110000101
2609,62.149.140.89,0.28,00111110100101011000110001011001
2610,62.162.114.206,0.93,00111110101000100111001011001110
2611,62.162.121.81,1.16,00111110101000100111100101010001
2612,62.162.77.57,0.73,00111110101000100100110100111001
2613,62.199.208.80,13.1,00111110110001111101000001010000
2614,62.210.125.234,2.79,00111110110100100111110111101010
2615,62.210.16.61,2.68,00111110110100100001000000111101
2616,62.210.16.62,4.595,00111110110100100001000000111110
2617,62.210.199.100,3.18,00111110110100101100011101100100
2618,62.210.207.82,1.08,00111110110100101100111101010010
2619,62.210.249.95,2.33,00111110110100101111100101011111
2620,62.210.6.131,16.645,00111110110100100000011010000011
2621,62.215.228.133,5.03,00111110110101111110010010000101
2622,62.218.130.122,0.32,00111110110110101000001001111010
2623,62.219.67.25,0.46,00111110110110110100001100011001
2624,62.233.121.30,6.78,00111110111010010111100100011110
2625,62.241.13.20,0.93,00111110111100010000110100010100
2626,62.252.60.184,0.67,00111110111111000011110010111000
2627,62.32.78.5,0.54,00111110001000000100111000000101
2628,62.48.167.165,8.46,00111110001100001010011110100101
2629,62.67.56.196,1.62,00111110010000110011100011000100
2630,62.77.254.6,0.75,00111110010011011111111000000110
2631,62.90.118.183,1.33,00111110010110100111011010110111
2632,62.96.5.76,1.1,00111110011000000000010101001100
2633,62.99.143.44,2.69,00111110011000111000111100101100
2634,63.143.77.173,0.15,00111111100011110100110110101101
2635,63.175.159.26,0.51,00111111101011111001111100011010
2636,63.32.189.164,5.71,00111111001000001011110110100100
2637,64.106.209.186,0.36,01000000011010101101000110111010
2638,64.111.107.228,3.66,01000000011011110110101111100100
2639,64.111.126.136,3.9975,01000000011011110111111010001000
2640,64.117.207.130,0.25,01000000011101011100111110000010
2641,64.119.198.109,0.31,01000000011101111100011001101101
2642,64.119.198.112,0.51,01000000011101111100011001110000
2643,64.119.198.184,0.14,01000000011101111100011010111000
2644,64.141.55.139,0.1,01000000100011010011011110001011
2645,64.147.91.185,1.4,01000000100100110101101110111001
2646,64.178.216.76,0.455,01000000101100101101100001001100
2647,64.178.217.130,0.52,01000000101100101101100110000010
2648,64.185.196.164,0.37,01000000101110011100010010100100
2649,64.188.10.113,5.48,01000000101111000000101001110001
2650,64.202.187.9,3.27,01000000110010101011101100001001
2651,64.22.104.226,0.2175,01000000000101100110100011100010
2652,64.22.138.9,2.15,01000000000101101000101000001001
2653,64.235.37.149,0.655,01000000111010110010010110010101
2654,64.28.207.244,0.6,01000000000111001100111111110100
2655,64.29.151.221,0.485,01000000000111011001011111011101
2656,64.37.51.118,1.23,01000000001001010011001101110110
2657,64.37.62.46,0.26,01000000001001010011111000101110
2658,64.37.62.60,0.4,01000000001001010011111000111100
2659,64.57.112.8,2.023333333333333,01000000001110010111000000001000
2660,64.57.113.200,0.16,01000000001110010111000111001000
2661,64.68.203.175,0.35,01000000010001001100101110101111
2662,64.71.34.107,0.3,01000000010001110010001001101011
2663,64.90.36.140,2.03,01000000010110100010010010001100
2664,64.90.41.206,1.6899999999999995,01000000010110100010100111001110
2665,64.90.49.253,13.9,01000000010110100011000111111101
2666,64.90.49.254,2.0,01000000010110100011000111111110
2667,64.91.227.174,0.61,01000000010110111110001110101110
2668,64.91.231.151,0.5599999999999999,01000000010110111110011110010111
2669,65.254.227.224,1.725,01000001111111101110001111100000
2670,65.254.227.240,7.085,01000001111111101110001111110000
2671,65.254.238.132,0.3,01000001111111101110111010000100
2672,65.254.246.208,7.08,01000001111111101111011011010000
2673,65.254.250.119,0.505,01000001111111101111101001110111
2674,65.39.154.89,0.4,01000001001001111001101001011001
2675,65.99.229.13,0.33,01000001011000111110010100001101
2676,66.110.114.100,0.71,01000010011011100111001001100100
2677,66.111.4.53,3.1,01000010011011110000010000110101
2678,66.111.53.230,0.5633333333333334,01000010011011110011010111100110
2679,66.111.53.231,2.7266666666666666,01000010011011110011010111100111
2680,66.113.226.190,0.45,01000010011100011110001010111110
2681,66.128.53.150,0.45,01000010100000000011010110010110
2682,66.147.237.194,0.7625,01000010100100111110110111000010
2683,66.147.244.99,9.38,01000010100100111111010001100011
2684,66.165.237.154,0.17,01000010101001011110110110011010
2685,66.198.240.48,0.21,01000010110001101111000000110000
2686,66.198.248.49,0.6,01000010110001101111100000110001
2687,66.201.99.23,3.54,01000010110010010110001100010111
2688,66.206.24.242,40.1,01000010110011100001100011110010
2689,66.206.25.26,6.9,01000010110011100001100100011010
2690,66.226.77.176,3.48,01000010111000100100110110110000
2691,66.33.208.165,0.23,01000010001000011101000010100101
2692,66.39.62.149,1.15,01000010001001110011111010010101
2693,66.55.134.194,1.4900000000000002,01000010001101111000011011000010
2694,66.7.198.130,3.24,01000010000001111100011010000010
2695,66.7.200.56,0.31,01000010000001111100100000111000
2696,66.70.216.80,7.73,01000010010001101101100001010000
2697,66.71.129.101,1.23,01000010010001111000000101100101
2698,66.85.75.75,1.29,01000010010101010100101101001011
2699,66.85.78.210,2.99,01000010010101010100111011010010
2700,66.96.134.25,0.32,01000010011000001000011000011001
2701,66.96.144.191,0.66,01000010011000001001000010111111
2702,66.96.146.52,1.095,01000010011000001001001000110100
2703,66.96.147.106,21.6,01000010011000001001001101101010
2704,66.96.147.109,0.79,01000010011000001001001101101101
2705,66.96.147.118,7.65,01000010011000001001001101110110
2706,66.96.147.159,6.17,01000010011000001001001110011111
2707,66.96.147.201,14.4,01000010011000001001001111001001
2708,66.96.149.21,1.18,01000010011000001001010100010101
2709,66.96.149.32,6.375,01000010011000001001010100100000
2710,67.195.197.75,0.69,01000011110000111100010101001011
2711,67.20.112.130,0.25,01000011000101000111000010000010
2712,67.20.55.57,0.31,01000011000101000011011100111001
2713,67.20.76.229,0.15,01000011000101000100110011100101
2714,67.205.123.150,1.48,01000011110011010111101110010110
2715,67.205.154.79,6.72,01000011110011011001101001001111
2716,67.207.83.104,7.034999999999998,01000011110011110101001101101000
2717,67.207.88.158,2.938,01000011110011110101100010011110
2718,67.211.240.14,1.03,01000011110100111111000000001110
2719,67.212.229.44,23.5,01000011110101001110010100101100
2720,67.212.87.204,0.625,01000011110101000101011111001100
2721,67.215.3.243,2.9,01000011110101110000001111110011
2722,67.222.111.194,0.345,01000011110111100110111111000010
2723,67.222.134.14,0.54,01000011110111101000011000001110
2724,67.222.158.172,3.86,01000011110111101001111010101100
2725,67.222.36.65,0.91,01000011110111100010010001000001
2726,67.222.38.67,0.46,01000011110111100010011001000011
2727,67.222.40.231,0.91,01000011110111100010100011100111
2728,67.222.52.67,1.52,01000011110111100011010001000011
2729,67.222.57.62,0.45,01000011110111100011100100111110
2730,67.222.99.241,0.33,01000011110111100110001111110001
2731,67.225.147.151,0.59,01000011111000011001001110010111
2732,67.225.152.146,0.44,01000011111000011001100010010010
2733,67.225.171.56,5.68,01000011111000011010101100111000
2734,67.225.177.41,0.08,01000011111000011011000100101001
2735,67.225.208.195,14.2,01000011111000011101000011000011
2736,67.225.212.116,2.57,01000011111000011101010001110100
2737,67.227.227.193,0.98,01000011111000111110001111000001
2738,67.23.226.139,4.08,01000011000101111110001010001011
2739,67.23.227.136,12.0,01000011000101111110001110001000
2740,67.230.188.188,0.385,01000011111001101011110010111100
2741,67.231.25.50,0.82,01000011111001110001100100110010
2742,67.43.0.34,0.18,01000011001010110000000000100010
2743,67.43.11.2,0.49,01000011001010110000101100000010
2744,67.43.226.3,0.5800000000000001,01000011001010111110001000000011
2745,68.171.212.69,7.223333333333333,01000100101010111101010001000101
2746,68.183.214.221,5.75,01000100101101111101011011011101
2747,68.183.215.91,0.58,01000100101101111101011101011011
2748,68.183.232.73,0.25,01000100101101111110100001001001
2749,68.66.197.209,0.21,01000100010000101100010111010001
2750,68.66.198.235,0.18,01000100010000101100011011101011
2751,68.66.200.199,0.67,01000100010000101100100011000111
2752,68.66.200.202,0.27,01000100010000101100100011001010
2753,68.66.216.31,0.67,01000100010000101101100000011111
2754,68.66.216.41,1.02,01000100010000101101100000101001
2755,68.66.216.5,5.21,01000100010000101101100000000101
2756,68.66.224.10,1.56,01000100010000101110000000001010
2757,68.66.224.21,3.47,01000100010000101110000000010101
2758,68.66.224.52,1.075,01000100010000101110000000110100
2759,68.71.42.183,0.38,01000100010001110010101010110111
2760,69.12.74.28,0.4633333333333334,01000101000011000100101000011100
2761,69.16.227.64,1.06,01000101000100001110001101000000
2762,69.16.238.110,0.19,01000101000100001110111001101110
2763,69.162.154.66,1.76,01000101101000101001101001000010
2764,69.163.152.95,0.44,01000101101000111001100001011111
2765,69.163.162.7,0.64,01000101101000111010001000000111
2766,69.163.164.45,0.34,01000101101000111010010000101101
2767,69.163.217.231,0.325,01000101101000111101100111100111
2768,69.163.225.72,1.99,01000101101000111110000101001000
2769,69.167.186.205,7.05,01000101101001111011101011001101
2770,69.17.215.50,0.17,01000101000100011101011100110010
2771,69.175.44.34,1.95,01000101101011110010110000100010
2772,69.175.44.90,1.77,01000101101011110010110001011010
2773,69.175.54.117,0.265,01000101101011110011011001110101
2774,69.175.70.186,2.23,01000101101011110100011010111010
2775,69.195.124.53,4.32,01000101110000110111110000110101
2776,69.195.99.178,6.7250000000000005,01000101110000110110001110110010
2777,69.197.186.194,0.38,01000101110001011011101011000010
2778,69.27.124.220,0.18,01000101000110110111110011011100
2779,69.28.93.162,1.02,01000101000111000101110110100010
2780,69.36.170.42,0.25,01000101001001001010101000101010
2781,69.36.46.33,0.34,01000101001001000010111000100001
2782,69.39.239.111,0.455,01000101001001111110111101101111
2783,69.49.115.40,0.315,01000101001100010111001100101000
2784,69.55.232.70,0.33,01000101001101111110100001000110
2785,69.63.64.32,0.19,01000101001111110100000000100000
2786,69.64.69.88,0.31,01000101010000000100010101011000
2787,69.64.91.174,0.29,01000101010000000101101110101110
2788,69.73.231.132,0.205,01000101010010011110011110000100
2789,69.89.25.97,0.24,01000101010110010001100101100001
2790,69.89.31.164,13.2,01000101010110010001111110100100
2791,69.89.31.224,0.29,01000101010110010001111111100000
2792,69.90.163.180,0.27,01000101010110101010001110110100
2793,70.32.96.44,0.45,01000110001000000110000000101100
2794,70.33.223.177,1.41,01000110001000011101111110110001
2795,70.38.123.177,14.2,01000110001001100111101110110001
2796,70.40.216.65,0.5,01000110001010001101100001000001
2797,72.252.249.34,0.16,01001000111111001111100100100010
2798,72.252.250.123,0.205,01001000111111001111101001111011
2799,72.29.21.11,0.875,01001000000111010001010100001011
2800,72.29.65.177,1.51,01001000000111010100000110110001
2801,72.29.78.133,0.25,01001000000111010100111010000101
2802,72.29.78.40,9.18,01001000000111010100111000101000
2803,72.29.86.151,6.1544444444444455,01001000000111010101011010010111
2804,72.29.91.162,3.045,01001000000111010101101110100010
2805,72.29.93.12,0.23,01001000000111010101110100001100
2806,72.47.228.177,1.62,01001000001011111110010010110001
2807,72.47.228.69,3.26,01001000001011111110010001000101
2808,72.52.252.192,1.9725,01001000001101001111110011000000
2809,72.55.136.230,1.14,01001000001101111000100011100110
2810,72.55.140.22,2.1,01001000001101111000110000010110
2811,74.124.194.161,0.07,01001010011111001100001010100001
2812,74.124.212.119,2.14,01001010011111001101010001110111
2813,74.205.100.223,0.25,01001010110011010110010011011111
2814,74.208.236.46,0.19,01001010110100001110110000101110
2815,74.208.236.72,0.9,01001010110100001110110001001000
2816,74.220.199.65,0.69,01001010110111001100011101000001
2817,74.220.207.187,0.595,01001010110111001100111110111011
2818,74.220.219.60,0.57,01001010110111001101101100111100
2819,74.50.138.155,14.8,01001010001100101000101010011011
2820,75.119.207.158,4.93,01001011011101111100111110011110
2821,75.119.209.214,1.23,01001011011101111101000111010110
2822,75.126.211.122,0.25,01001011011111101101001101111010
2823,77.104.142.236,1.35,01001101011010001000111011101100
2824,77.104.152.236,0.23,01001101011010001001100011101100
2825,77.104.153.125,6.66,01001101011010001001100101111101
2826,77.104.178.228,1.02,01001101011010001011001011100100
2827,77.111.240.135,1.45,01001101011011111111000010000111
2828,77.111.240.168,0.73,01001101011011111111000010101000
2829,77.111.240.170,3.19,01001101011011111111000010101010
2830,77.111.240.41,1.51,01001101011011111111000000101001
2831,77.111.240.44,23.9,01001101011011111111000000101100
2832,77.194.127.130,7.54,01001101110000100111111110000010
2833,77.221.225.67,0.57,01001101110111011110000101000011
2834,77.235.19.126,5.45,01001101111010110001001101111110
2835,77.244.145.228,1.18,01001101111101001001000111100100
2836,77.244.243.43,4.04,01001101111101001111001100101011
2837,77.244.244.60,1.03,01001101111101001111010000111100
2838,77.245.105.165,2.415,01001101111101010110100110100101
2839,77.245.4.27,1.29,01001101111101010000010000011011
2840,77.72.0.70,4.8450000000000015,01001101010010000000000001000110
2841,77.72.0.90,3.73,01001101010010000000000001011010
2842,77.72.204.90,5.7,01001101010010001100110001011010
2843,77.73.99.73,2.12,01001101010010010110001101001001
2844,77.74.234.204,9.287142857142856,01001101010010101110101011001100
2845,77.78.76.170,1.7,01001101010011100100110010101010
2846,77.79.239.203,1.14,01001101010011111110111111001011
2847,77.81.137.166,22.0,01001101010100011000100110100110
2848,77.83.100.30,0.47,01001101010100110110010000011110
2849,77.91.239.247,0.37,01001101010110111110111111110111
2850,77.93.218.18,10.420000000000002,01001101010111011101101000010010
2851,77.95.0.35,1.99,01001101010111110000000000100011
2852,78.104.136.166,1.7,01001110011010001000100010100110
2853,78.128.6.198,1.49,01001110100000000000011011000110
2854,78.133.124.154,1.4300000000000002,01001110100001010111110010011010
2855,78.137.164.56,2.065,01001110100010011010010000111000
2856,78.140.140.250,5.99,01001110100011001000110011111010
2857,78.153.204.20,0.75,01001110100110011100110000010100
2858,78.153.220.135,3.17,01001110100110011101110010000111
2859,78.157.60.165,0.17,01001110100111010011110010100101
2860,78.24.185.63,3.79,01001110000110001011100100111111
2861,78.31.104.234,1.86,01001110000111110110100011101010
2862,78.31.109.249,2.44,01001110000111110110110111111001
2863,78.38.220.161,0.79,01001110001001101101110010100001
2864,78.40.54.8,8.34,01001110001010000011011000001000
2865,78.46.10.93,6.83,01001110001011100000101001011101
2866,78.46.152.46,3.97,01001110001011101001100000101110
2867,78.46.154.163,0.77,01001110001011101001101010100011
2868,78.46.166.7,33.8,01001110001011101010011000000111
2869,78.46.175.218,6.38,01001110001011101010111111011010
2870,78.46.211.207,0.35,01001110001011101101001111001111
2871,78.47.0.91,6.68,01001110001011110000000001011011
2872,78.47.122.69,5.78,01001110001011110111101001000101
2873,78.47.177.120,1.465,01001110001011111011000101111000
2874,78.47.6.1,3.53,01001110001011110000011000000001
2875,78.47.6.12,0.91,01001110001011110000011000001100
2876,79.124.64.161,0.55,01001111011111000100000010100001
2877,79.124.75.51,1.32,01001111011111000100101100110011
2878,79.134.251.191,2.56,01001111100001101111101110111111
2879,79.140.136.153,0.93,01001111100011001000100010011001
2880,79.143.186.31,8.44,01001111100011111011101000011111
2881,79.170.44.115,25.1,01001111101010100010110001110011
2882,79.170.44.118,1.55,01001111101010100010110001110110
2883,79.170.44.214,0.42,01001111101010100010110011010110
2884,79.171.97.215,0.63,01001111101010110110000111010111
2885,79.174.130.80,1.17,01001111101011101000001001010000
2886,79.175.145.52,0.14,01001111101011111001000100110100
2887,79.175.145.53,0.07,01001111101011111001000100110101
2888,79.98.25.10,4.72,01001111011000100001100100001010
2889,79.98.26.141,0.61,01001111011000100001101010001101
2890,79.98.28.33,5.34,01001111011000100001110000100001
2891,79.99.200.17,6.85,01001111011000111100100000010001
2892,80.111.79.131,1.57,01010000011011110100111110000011
2893,80.120.70.58,2.01,01010000011110000100011000111010
2894,80.150.6.143,0.62,01010000100101100000011010001111
2895,80.179.226.18,2.89,01010000101100111110001000010010
2896,80.191.10.10,0.33,01010000101111110000101000001010
2897,80.197.110.49,0.24,01010000110001010110111000110001
2898,80.211.53.11,21.2,01010000110100110011010100001011
2899,80.237.207.100,2.065,01010000111011011100111101100100
2900,80.244.168.48,0.29,01010000111101001010100000110000
2901,80.246.41.102,3.895,01010000111101100010100101100110
2902,80.249.72.58,1.73,01010000111110010100100000111010
2903,80.65.249.17,4.89,01010000010000011111100100010001
2904,80.65.66.243,0.19,01010000010000010100001011110011
2905,80.67.144.50,3.51,01010000010000111001000000110010
2906,80.67.28.95,14.3,01010000010000110001110001011111
2907,80.69.164.61,2.33,01010000010001011010010000111101
2908,80.70.28.102,5.08,01010000010001100001110001100110
2909,80.73.216.134,0.08,01010000010010011101100010000110
2910,80.74.139.25,5.275,01010000010010101000101100011001
2911,80.74.141.2,0.9,01010000010010101000110100000010
2912,80.74.152.30,0.42,01010000010010101001100000011110
2913,80.74.155.40,3.06,01010000010010101001101100101000
2914,80.77.131.162,8.68,01010000010011011000001110100010
2915,80.77.131.199,1.08,01010000010011011000001111000111
2916,80.77.182.154,2.46,01010000010011011011011010011010
2917,80.80.213.82,0.14,01010000010100001101010101010010
2918,80.80.233.53,9.7275,01010000010100001110100100110101
2919,80.82.114.81,17.8,01010000010100100111001001010001
2920,80.82.114.85,3.1700000000000004,01010000010100100111001001010101
2921,80.85.86.126,2.78,01010000010101010101011001111110
2922,80.86.198.10,0.7733333333333334,01010000010101101100011000001010
2923,80.86.229.62,0.295,01010000010101101110010100111110
2924,80.87.68.212,0.14,01010000010101110100010011010100
2925,80.88.9.4,0.25,01010000010110000000100100000100
2926,80.90.47.134,1.35,01010000010110100010111110000110
2927,80.90.80.109,0.89,01010000010110100101000001101101
2928,80.92.66.93,14.3,01010000010111000100001001011101
2929,80.93.29.10,1.15,01010000010111010001110100001010
2930,80.93.93.36,3.585,01010000010111010101110100100100
2931,80.94.168.34,0.605,01010000010111101010100000100010
2932,80.94.229.216,0.96,01010000010111101110010111011000
2933,80.94.97.69,2.41,01010000010111100110000101000101
2934,80.94.98.99,0.5675,01010000010111100110001001100011
2935,81.0.235.28,0.98,01010001000000001110101100011100
2936,81.169.145.158,0.35,01010001101010011001000110011110
2937,81.169.145.162,0.48,01010001101010011001000110100010
2938,81.169.145.91,4.26,01010001101010011001000101011011
2939,81.169.145.95,2.0,01010001101010011001000101011111
2940,81.17.248.107,1.39,01010001000100011111100001101011
2941,81.171.3.100,6.17,01010001101010110000001101100100
2942,81.177.140.253,1.37,01010001101100011000110011111101
2943,81.180.68.8,6.06,01010001101101000100010000001000
2944,81.19.145.33,1.685,01010001000100111001000100100001
2945,81.19.145.54,8.21,01010001000100111001000100110110
2946,81.19.215.11,5.33,01010001000100111101011100001011
2947,81.19.215.5,7.33,01010001000100111101011100000101
2948,81.198.117.123,5.37,01010001110001100111010101111011
2949,81.198.171.118,12.72,01010001110001101010101101110110
2950,81.198.74.205,2.18,01010001110001100100101011001101
2951,81.2.195.31,1.38,01010001000000101100001100011111
2952,81.2.195.64,0.38,01010001000000101100001101000000
2953,81.21.103.171,0.22,01010001000101010110011110101011
2954,81.218.83.114,5.82,01010001110110100101001101110010
2955,81.23.34.170,1.8766666666666667,01010001000101110010001010101010
2956,81.25.190.152,0.09,01010001000110011011111010011000
2957,81.255.146.49,2.023333333333333,01010001111111111001001000110001
2958,81.88.48.113,0.38,01010001010110000011000001110001
2959,81.88.48.95,2.94,01010001010110000011000001011111
2960,81.93.64.34,3.15,01010001010111010100000000100010
2961,81.93.64.38,1.59,01010001010111010100000000100110
2962,81.94.239.58,13.285,01010001010111101110111100111010
2963,81.95.105.70,4.93,01010001010111110110100101000110
2964,81.95.98.131,1.0,01010001010111110110001010000011
2965,82.100.39.139,0.5700000000000001,01010010011001000010011110001011
2966,82.100.39.67,2.24,01010010011001000010011101000011
2967,82.102.64.85,0.29,01010010011001100100000001010101
2968,82.113.11.18,0.21,01010010011100010000101100010010
